param_name,车型10_14.98,车型11_14.18,车型12_15.18,车型13_14.98,车型14_15.98,车型15_15.18,车型16_16.18,车型17_14.78,车型18_16.78,车型19_14.98,车型1_12.98,车型20_16.98,车型21_15.78,车型22_17.78,车型23_15.98,车型24_17.98,车型25_15.98,车型26_17.98,车型27_20.78,车型28_16.18,车型29_20.98,车型2_13.98,车型30_18.18,车型31_16.98,车型32_18.98,车型33_21.78,车型34_17.18,车型35_19.18,车型36_21.98,车型37_14.38,车型38_14.58,车型39_14.58,车型3_13.18,车型40_14.78,车型41_15.58,车型42_15.78,车型43_16.98,车型44_17.18,车型45_25.98,车型4_14.18,车型5_13.98,车型6_14.98,车型7_14.18,车型8_15.18,车型9_13.98
最大扭矩转速(rpm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大满载(kg),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大马力(Ps),163,163,163,163,163,163,163,218,218,218,163,218,218,218,218,218,218,218,218,218,218,163,218,218,218,218,218,218,218,214,214,214,163,214,214,214,214,214,218,163,163,163,163,163,163
最高车速(km/h),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,185,-,-,-,-,-,-
每缸(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
经销商参考价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价
能源类型,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,汽油,汽油,汽油,柴油,汽油,汽油,汽油,汽油,汽油,柴油,柴油,柴油,柴油,柴油,柴油,柴油
货箱尺寸(mm),1485x1510x530,1800x1510x530,1800x1510x530,1485x1510x530,1485x1510x530,1800x1510x530,1800x1510x530,1485x1510x530,1485x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1485x1510x530,1485x1510x530,1800x1510x530,1800x1510x530,1485x1510x530,1485x1510x530,1485x1510x530,1800x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1485x1510x530,1485x1510x530,1485x1510x530,1800x1510x530,1800x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,-,1800x1510x530,1485x1510x530,1485x1510x530,1800x1510x530,1800x1510x530,1485x1510x530
车体结构,非,非,非,非,非,非,非,非,非,非,非,非,非,非,非,非,非,非,非,非,非,非,非,非,非,非,非,非,非,非,非,非,非,非,非,非,非,非,非,非,非,非,非,非,非
车身结构,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车门开启方式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长*宽*高(mm),5365×1900×1845,5680×1900×1809,5680×1900×1845,5365×1900×1809,5365×1900×1845,5680×1900×1809,5680×1900×1845,5365×1960×1845,5365×1960×1845,5680×1960×1845,5365×1900×1809,5680×1960×1845,5365×1960×1845,5365×1960×1845,5680×1960×1845,5680×1960×1845,5365×1960×1845,5365×1960×1845,5365×1960×1845,5680×1960×1845,5680×1960×1845,5365×1900×1845,5680×1960×1845,5365×1960×1845,5365×1960×1845,5365×1960×1845,5680×1960×1845,5680×1960×1845,5680×1960×1845,5365×1960×1845,5680×1960×1845,5365×1960×1845,5680×1900×1809,5680×1960×1845,5365×1960×1845,5680×1960×1845,5365×1960×1845,5680×1960×1845,5480×2050×1980,5680×1900×1845,5365×1900×1809,5365×1900×1845,5680×1900×1809,5680×1900×1845,5365×1900×1809
阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
